Tree	q1	q2	cellpop	coars	cryst	dens	mfa	moe	rad	rwidth	specsurf	tad	cellwt	h97
E560A3_2_055_1	-6.514	2.865	1080.9596	355.1472	2.5845	381.3793	17.0043	9.3697	32.7251	4.2368	364.7863	29.6271	2.0755	500
E560A3_2_055_3	-19.73	10.828	1325.652	327.2619	2.5075	432.6489	27.7146	6.9766	28.8742	3.3475	359.0457	27.0456	2.1586	470
E560A3_2_056_1	0.173	0.611	1391.296	326.9076	2.6041	449.5439	14.0466	12.3124	27.5931	2.4693	353.5404	27.404	2.1996	455
E560A3_2_056_5	1.069	-1.422	1249.8225	328.5026	2.5528	413.1556	18.6864	9.989	29.5415	3.2763	372.859	28.1529	2.1065	480
E560A3_2_057_2	1.373	-0.874	1169.7975	355.2892	2.5742	420.8561	18.8459	10.5919	29.0553	2.575	349.7479	30.0854	2.2143	440
E560A3_2_057_4	-0.434	-1.545	1329.3264	363.8851	2.6112	484.7704	12.0904	14.7815	29.1681	2.0663	326.7063	27.0037	2.4441	390
E560A3_2_058_1	1.25	-0.592	1122.2857	334.5138	2.5647	375.8118	18.4402	8.8635	31.8829	4.0852	382.6566	29.2278	2.0013	640
E560A3_2_059_1	0.57	-0.345	1323.7896	321.3242	2.5434	423.2153	19.7879	9.2686	29.0706	2.5141	366.0878	27.0388	2.1028	560
E560A3_2_060_2	1.661	-1.615	1424.8557	292.961	2.6311	416.0179	12.6035	12.6048	27.167	2.835	381.6317	26.9322	1.9862	550
E560A3_2_060_5	3.181	0.415	1095.115	349.2453	2.5609	382.6214	16.879	9.7824	31.9676	3.681	372.0001	29.9064	2.066	680
E560A3_2_061_3	3.969	2.378	1248.7288	338.7478	2.5747	418.2057	16.9223	11.1279	31.2746	3.2188	356.9056	26.7185	2.1375	485
E560A3_2_061_5	2.808	1.786	1418.7091	256.8524	2.6091	364.3674	24.5819	6.8941	27.8965	3.6828	430.5371	26.3003	1.7181	435
E560A3_2_062_3	2.284	1.959	1476.0805	324.0475	2.6349	473.5535	20.7676	10.8073	27.0155	2.6694	341.8447	26.1376	2.2623	400
E560A3_2_062_5	1.616	-0.79	1540.093	271.8959	2.5441	417.0903	22.7253	8.273	27.3529	2.5375	396.0642	24.5508	1.9141	250
E560A3_2_063_4	2.871	1.932	1406.4899	321.3191	2.5673	449.8437	23.6399	9.2252	29.0187	2.7824	352.0741	25.4346	2.1795	420
E560A3_2_064_1	1.589	2.876	1226.6256	323.4781	2.5078	392.1171	24.8754	7.0314	30.966	3.3592	375.7828	27.6446	2.0102	450
E560A3_2_064_2	3.071	2.195	1412.0554	284.6477	2.6171	402.5598	18.1646	10.6772	27.6649	2.5828	390.5968	26.4344	1.9219	375
E560A3_2_066_3	-2.926	0.505	1265.2752	344.8123	2.5819	431.9149	15.3524	11.5334	28.4721	3.4985	347.699	29.0484	2.2037	450
E560A3_2_066_5	-2.148	-1.521	1285.3135	334.5134	2.5957	435.1164	12.4077	12.1427	28.5405	3.0069	351.4099	28.1178	2.191	420
